Glyph,Name ,Character(s) 
Ι,Iota; ,U+00399 
ι,iota; ,U+003B9 
⨼,iprod; ,U+02A3C 
¿,iquest; ,U+000BF 
¿,iquest ,U+000BF 
ℐ,Iscr; ,U+02110 
𝒾,iscr; ,U+1D4BE 
∈,isin; ,U+02208 
⋵,isindot; ,U+022F5 
⋹,isinE; ,U+022F9 
⋴,isins; ,U+022F4 
⋳,isinsv; ,U+022F3 
∈,isinv; ,U+02208 
⁢,it; ,U+02062 
Ĩ,Itilde; ,U+00128 
ĩ,itilde; ,U+00129 
І,Iukcy; ,U+00406 
і,iukcy; ,U+00456 
Ï,Iuml; ,U+000CF 
Ï,Iuml ,U+000CF 
ï,iuml; ,U+000EF 
ï,iuml ,U+000EF 
Ĵ,Jcirc; ,U+00134 
ĵ,jcirc; ,U+00135 
Й,Jcy; ,U+00419 
й,jcy; ,U+00439 
𝔍,Jfr; ,U+1D50D 
𝔧,jfr; ,U+1D527 
ȷ,jmath; ,U+00237 
𝕁,Jopf; ,U+1D541 
𝕛,jopf; ,U+1D55B 
𝒥,Jscr; ,U+1D4A5 
𝒿,jscr; ,U+1D4BF 
Ј,Jsercy; ,U+00408 
ј,jsercy; ,U+00458 
Є,Jukcy; ,U+00404 
є,jukcy; ,U+00454 
Κ,Kappa; ,U+0039A 
κ,kappa; ,U+003BA 
ϰ,kappav; ,U+003F0 
Ķ,Kcedil; ,U+00136 
ķ,kcedil; ,U+00137 
К,Kcy; ,U+0041A 
к,kcy; ,U+0043A 
𝔎,Kfr; ,U+1D50E 
𝔨,kfr; ,U+1D528 
ĸ,kgreen; ,U+00138 
Х,KHcy; ,U+00425 
х,khcy; ,U+00445 
Ќ,KJcy; ,U+0040C 
ќ,kjcy; ,U+0045C 
𝕂,Kopf; ,U+1D542 
𝕜,kopf; ,U+1D55C 
𝒦,Kscr; ,U+1D4A6 
𝓀,kscr; ,U+1D4C0 
⇚,lAarr; ,U+021DA 
Ĺ,Lacute; ,U+00139 
ĺ,lacute; ,U+0013A 
⦴,laemptyv; ,U+029B4 
ℒ,lagran; ,U+02112 
Λ,Lambda; ,U+0039B 
λ,lambda; ,U+003BB 
⟪,Lang; ,U+027EA 
⟨,lang; ,U+027E8 
⦑,langd; ,U+02991 
⟨,langle; ,U+027E8 
⪅,lap; ,U+02A85 
ℒ,Laplacetrf; ,U+02112 
«,laquo; ,U+000AB 
«,laquo ,U+000AB 
↞,Larr; ,U+0219E 
⇐,lArr; ,U+021D0 
←,larr; ,U+02190 
⇤,larrb; ,U+021E4 
⤟,larrbfs; ,U+0291F 
⤝,larrfs; ,U+0291D 
↩,larrhk; ,U+021A9 
↫,larrlp; ,U+021AB 
⤹,larrpl; ,U+02939 
⥳,larrsim; ,U+02973 
↢,larrtl; ,U+021A2 
⪫,lat; ,U+02AAB 
⤛,lAtail; ,U+0291B 
⤙,latail; ,U+02919 
⪭,late; ,U+02AAD 
⪭︀,lates; ,U+02AAD U+0FE00 
⤎,lBarr; ,U+0290E 
⤌,lbarr; ,U+0290C 
❲,lbbrk; ,U+02772 
{,lbrace; ,U+0007B 
[,lbrack; ,U+0005B 
⦋,lbrke; ,U+0298B 
⦏,lbrksld; ,U+0298F 
⦍,lbrkslu; ,U+0298D 
Ľ,Lcaron; ,U+0013D 
ľ,lcaron; ,U+0013E 
Ļ,Lcedil; ,U+0013B 
ļ,lcedil; ,U+0013C 
⌈,lceil; ,U+02308 
{,lcub; ,U+0007B 
Л,Lcy; ,U+0041B 
л,lcy; ,U+0043B 
⤶,ldca; ,U+02936 
“,ldquo; ,U+0201C 
„,ldquor; ,U+0201E 
⥧,ldrdhar; ,U+02967 
⥋,ldrushar; ,U+0294B 
↲,ldsh; ,U+021B2 
≦,lE; ,U+02266 
≤,le; ,U+02264 
⟨,LeftAngleBracket; ,U+027E8 
←,LeftArrow; ,U+02190 
⇐,Leftarrow; ,U+021D0 
←,leftarrow; ,U+02190 
⇤,LeftArrowBar; ,U+021E4 
⇆,LeftArrowRightArrow; ,U+021C6 
↢,leftarrowtail; ,U+021A2 
⌈,LeftCeiling; ,U+02308 
⟦,LeftDoubleBracket; ,U+027E6 
⥡,LeftDownTeeVector; ,U+02961 
⇃,LeftDownVector; ,U+021C3 
⥙,LeftDownVectorBar; ,U+02959 
⌊,LeftFloor; ,U+0230A 
↽,leftharpoondown; ,U+021BD 
↼,leftharpoonup; ,U+021BC 
⇇,leftleftarrows; ,U+021C7 
↔,LeftRightArrow; ,U+02194 
⇔,Leftrightarrow; ,U+021D4 
↔,leftrightarrow; ,U+02194 
⇆,leftrightarrows; ,U+021C6 
⇋,leftrightharpoons; ,U+021CB 
↭,leftrightsquigarrow; ,U+021AD 
⥎,LeftRightVector; ,U+0294E 
⊣,LeftTee; ,U+022A3 
↤,LeftTeeArrow; ,U+021A4 
⥚,LeftTeeVector; ,U+0295A 
⋋,leftthreetimes; ,U+022CB 
⊲,LeftTriangle; ,U+022B2 
⧏,LeftTriangleBar; ,U+029CF 
⊴,LeftTriangleEqual; ,U+022B4 
⥑,LeftUpDownVector; ,U+02951 
⥠,LeftUpTeeVector; ,U+02960 
↿,LeftUpVector; ,U+021BF 
⥘,LeftUpVectorBar; ,U+02958 
↼,LeftVector; ,U+021BC 
⥒,LeftVectorBar; ,U+02952 
⪋,lEg; ,U+02A8B 
⋚,leg; ,U+022DA 
≤,leq; ,U+02264 
≦,leqq; ,U+02266 
⩽,leqslant; ,U+02A7D 
⩽,les; ,U+02A7D 
⪨,lescc; ,U+02AA8 
⩿,lesdot; ,U+02A7F 
⪁,lesdoto; ,U+02A81 
⪃,lesdotor; ,U+02A83 
⋚︀,lesg; ,U+022DA U+0FE00 
⪓,lesges; ,U+02A93 
⪅,lessapprox; ,U+02A85 
⋖,lessdot; ,U+022D6 
⋚,lesseqgtr; ,U+022DA 
⪋,lesseqqgtr; ,U+02A8B 
⋚,LessEqualGreater; ,U+022DA 
≦,LessFullEqual; ,U+02266 
≶,LessGreater; ,U+02276 
≶,lessgtr; ,U+02276 
⪡,LessLess; ,U+02AA1 
≲,lesssim; ,U+02272 
⩽,LessSlantEqual; ,U+02A7D 
≲,LessTilde; ,U+02272 
⥼,lfisht; ,U+0297C 
⌊,lfloor; ,U+0230A 
𝔏,Lfr; ,U+1D50F 
𝔩,lfr; ,U+1D529 
≶,lg; ,U+02276 
⪑,lgE; ,U+02A91 
⥢,lHar; ,U+02962 
↽,lhard; ,U+021BD 
↼,lharu; ,U+021BC 
⥪,lharul; ,U+0296A 
▄,lhblk; ,U+02584 
Љ,LJcy; ,U+00409 
љ,ljcy; ,U+00459 
⋘,Ll; ,U+022D8 
≪,ll; ,U+0226A 
⇇,llarr; ,U+021C7 
⌞,llcorner; ,U+0231E 
⇚,Lleftarrow; ,U+021DA 
⥫,llhard; ,U+0296B 
◺,lltri; ,U+025FA 
Ŀ,Lmidot; ,U+0013F 
ŀ,lmidot; ,U+00140 
⎰,lmoust; ,U+023B0 
⎰,lmoustache; ,U+023B0 
⪉,lnap; ,U+02A89 
⪉,lnapprox; ,U+02A89 
≨,lnE; ,U+02268 
⪇,lne; ,U+02A87 
⪇,lneq; ,U+02A87 
≨,lneqq; ,U+02268 
⋦,lnsim; ,U+022E6 
⟬,loang; ,U+027EC 
⇽,loarr; ,U+021FD 
⟦,lobrk; ,U+027E6 
⟵,LongLeftArrow; ,U+027F5 
⟸,Longleftarrow; ,U+027F8 
⟵,longleftarrow; ,U+027F5 
⟷,LongLeftRightArrow; ,U+027F7 
⟺,Longleftrightarrow; ,U+027FA 
⟷,longleftrightarrow; ,U+027F7 
⟼,longmapsto; ,U+027FC 
⟶,LongRightArrow; ,U+027F6 
⟹,Longrightarrow; ,U+027F9 
⟶,longrightarrow; ,U+027F6 
↫,looparrowleft; ,U+021AB 
↬,looparrowright; ,U+021AC 
⦅,lopar; ,U+02985 
𝕃,Lopf; ,U+1D543 
𝕝,lopf; ,U+1D55D 
⨭,loplus; ,U+02A2D 
⨴,lotimes; ,U+02A34 
∗,lowast; ,U+02217 
_,lowbar; ,U+0005F 
↙,LowerLeftArrow; ,U+02199 
↘,LowerRightArrow; ,U+02198 
◊,loz; ,U+025CA 
◊,lozenge; ,U+025CA 
⧫,lozf; ,U+029EB 
(,lpar; ,U+00028 
⦓,lparlt; ,U+02993 
⇆,lrarr; ,U+021C6 
⌟,lrcorner; ,U+0231F 
⇋,lrhar; ,U+021CB 
⥭,lrhard; ,U+0296D 
‎,lrm; ,U+0200E 
⊿,lrtri; ,U+022BF 
‹,lsaquo; ,U+02039 
ℒ,Lscr; ,U+02112 
𝓁,lscr; ,U+1D4C1 
↰,Lsh; ,U+021B0 
↰,lsh; ,U+021B0 
≲,lsim; ,U+02272 
⪍,lsime; ,U+02A8D 
⪏,lsimg; ,U+02A8F 
[,lsqb; ,U+0005B 
‘,lsquo; ,U+02018 
‚,lsquor; ,U+0201A 
Ł,Lstrok; ,U+00141 
ł,lstrok; ,U+00142 
<,LT; ,U+0003C 
<,LT ,U+0003C 
≪,Lt; ,U+0226A 
<,lt; ,U+0003C 
<,lt ,U+0003C 
⪦,ltcc; ,U+02AA6 
⩹,ltcir; ,U+02A79 
⋖,ltdot; ,U+022D6 
⋋,lthree; ,U+022CB 
⋉,ltimes; ,U+022C9 
⥶,ltlarr; ,U+02976 
⩻,ltquest; ,U+02A7B 
◃,ltri; ,U+025C3 
⊴,ltrie; ,U+022B4 
◂,ltrif; ,U+025C2 
⦖,ltrPar; ,U+02996 
⥊,lurdshar; ,U+0294A 
⥦,luruhar; ,U+02966 
≨︀,lvertneqq; ,U+02268 U+0FE00 
≨︀,lvnE; ,U+02268 U+0FE00 
¯,macr; ,U+000AF 
¯,macr ,U+000AF 
♂,male; ,U+02642 
✠,malt; ,U+02720 
✠,maltese; ,U+02720 
⤅,Map; ,U+02905 
↦,map; ,U+021A6 
↦,mapsto; ,U+021A6 
↧,mapstodown; ,U+021A7 
↤,mapstoleft; ,U+021A4 
↥,mapstoup; ,U+021A5 
▮,marker; ,U+025AE 
⨩,mcomma; ,U+02A29 
М,Mcy; ,U+0041C 
м,mcy; ,U+0043C 
—,mdash; ,U+02014 
∺,mDDot; ,U+0223A 
∡,measuredangle; ,U+02221 
 ,MediumSpace; ,U+0205F 
ℳ,Mellintrf; ,U+02133 
𝔐,Mfr; ,U+1D510 
𝔪,mfr; ,U+1D52A 
℧,mho; ,U+02127 
µ,micro; ,U+000B5 
µ,micro ,U+000B5 
∣,mid; ,U+02223 
*,midast; ,U+0002A 
⫰,midcir; ,U+02AF0 
·,middot; ,U+000B7 
·,middot ,U+000B7 
−,minus; ,U+02212 
⊟,minusb; ,U+0229F 
∸,minusd; ,U+02238 
⨪,minusdu; ,U+02A2A 
∓,MinusPlus; ,U+02213 
⫛,mlcp; ,U+02ADB 
…,mldr; ,U+02026 
∓,mnplus; ,U+02213 
⊧,models; ,U+022A7 
𝕄,Mopf; ,U+1D544 
𝕞,mopf; ,U+1D55E 
∓,mp; ,U+02213 
ℳ,Mscr; ,U+02133 
𝓂,mscr; ,U+1D4C2 
∾,mstpos; ,U+0223E 
Μ,Mu; ,U+0039C 
μ,mu; ,U+003BC 
⊸,multimap; ,U+022B8 
⊸,mumap; ,U+022B8 
∇,nabla; ,U+02207 
Ń,Nacute; ,U+00143 
ń,nacute; ,U+00144 
∠⃒,nang; ,U+02220 U+020D2 
≉,nap; ,U+02249 
⩰̸,napE; ,U+02A70 U+00338 
≋̸,napid; ,U+0224B U+00338 
ŉ,napos; ,U+00149 
≉,napprox; ,U+02249 
♮,natur; ,U+0266E 
♮,natural; ,U+0266E 
ℕ,naturals; ,U+02115 
 ,nbsp; ,U+000A0 
 ,nbsp ,U+000A0 
≎̸,nbump; ,U+0224E U+00338 
≏̸,nbumpe; ,U+0224F U+00338 
⩃,ncap; ,U+02A43 
Ň,Ncaron; ,U+00147 
ň,ncaron; ,U+00148 
Ņ,Ncedil; ,U+00145 
ņ,ncedil; ,U+00146 
≇,ncong; ,U+02247 
⩭̸,ncongdot; ,U+02A6D U+00338 
⩂,ncup; ,U+02A42 
Н,Ncy; ,U+0041D 
н,ncy; ,U+0043D 
–,ndash; ,U+02013 
≠,ne; ,U+02260 
⤤,nearhk; ,U+02924 
⇗,neArr; ,U+021D7 
↗,nearr; ,U+02197 
↗,nearrow; ,U+02197 
≐̸,nedot; ,U+02250 U+00338 
​,NegativeMediumSpace; ,U+0200B 
​,NegativeThickSpace; ,U+0200B 
​,NegativeThinSpace; ,U+0200B 
​,NegativeVeryThinSpace; ,U+0200B 
≢,nequiv; ,U+02262 
⤨,nesear; ,U+02928 
≂̸,nesim; ,U+02242 U+00338 
≫,NestedGreaterGreater; ,U+0226B 
≪,NestedLessLess; ,U+0226A 
␊,NewLine; ,U+0000A 
∄,nexist; ,U+02204 
∄,nexists; ,U+02204 
𝔑,Nfr; ,U+1D511 
𝔫,nfr; ,U+1D52B 
≧̸,ngE; ,U+02267 U+00338 
≱,nge; ,U+02271 
≱,ngeq; ,U+02271 
≧̸,ngeqq; ,U+02267 U+00338 
⩾̸,ngeqslant; ,U+02A7E U+00338 
⩾̸,nges; ,U+02A7E U+00338 
⋙̸,nGg; ,U+022D9 U+00338 
≵,ngsim; ,U+02275 
≫⃒,nGt; ,U+0226B U+020D2 
≯,ngt; ,U+0226F 
≯,ngtr; ,U+0226F 
≫̸,nGtv; ,U+0226B U+00338 
⇎,nhArr; ,U+021CE 
↮,nharr; ,U+021AE 
⫲,nhpar; ,U+02AF2 
∋,ni; ,U+0220B 
⋼,nis; ,U+022FC 
⋺,nisd; ,U+022FA 
∋,niv; ,U+0220B 
Њ,NJcy; ,U+0040A 
њ,njcy; ,U+0045A 
⇍,nlArr; ,U+021CD 
↚,nlarr; ,U+0219A 
‥,nldr; ,U+02025 
≦̸,nlE; ,U+02266 U+00338 
≰,nle; ,U+02270 
⇍,nLeftarrow; ,U+021CD 
↚,nleftarrow; ,U+0219A 
⇎,nLeftrightarrow; ,U+021CE 
↮,nleftrightarrow; ,U+021AE 
≰,nleq; ,U+02270 
≦̸,nleqq; ,U+02266 U+00338 
⩽̸,nleqslant; ,U+02A7D U+00338 
⩽̸,nles; ,U+02A7D U+00338 
≮,nless; ,U+0226E 
⋘̸,nLl; ,U+022D8 U+00338 
≴,nlsim; ,U+02274 
≪⃒,nLt; ,U+0226A U+020D2 
≮,nlt; ,U+0226E 
⋪,nltri; ,U+022EA 
⋬,nltrie; ,U+022EC 
≪̸,nLtv; ,U+0226A U+00338 
∤,nmid; ,U+02224 
⁠,NoBreak; ,U+02060 
 ,NonBreakingSpace; ,U+000A0 
ℕ,Nopf; ,U+02115 
𝕟,nopf; ,U+1D55F 
⫬,Not; ,U+02AEC 
¬,not; ,U+000AC 
¬,not ,U+000AC 
≢,NotCongruent; ,U+02262 
≭,NotCupCap; ,U+0226D 
∦,NotDoubleVerticalBar; ,U+02226 
∉,NotElement; ,U+02209 
≠,NotEqual; ,U+02260 
≂̸,NotEqualTilde; ,U+02242 U+00338 
∄,NotExists; ,U+02204 
≯,NotGreater; ,U+0226F 
≱,NotGreaterEqual; ,U+02271 
≧̸,NotGreaterFullEqual; ,U+02267 U+00338 
≫̸,NotGreaterGreater; ,U+0226B U+00338 
≹,NotGreaterLess; ,U+02279 
⩾̸,NotGreaterSlantEqual; ,U+02A7E U+00338 
≵,NotGreaterTilde; ,U+02275 
≎̸,NotHumpDownHump; ,U+0224E U+00338 
≏̸,NotHumpEqual; ,U+0224F U+00338 
∉,notin; ,U+02209 
⋵̸,notindot; ,U+022F5 U+00338 
⋹̸,notinE; ,U+022F9 U+00338 
∉,notinva; ,U+02209 
⋷,notinvb; ,U+022F7 
⋶,notinvc; ,U+022F6 
⋪,NotLeftTriangle; ,U+022EA 
⧏̸,NotLeftTriangleBar; ,U+029CF U+00338 
⋬,NotLeftTriangleEqual; ,U+022EC 
≮,NotLess; ,U+0226E 
≰,NotLessEqual; ,U+02270 
≸,NotLessGreater; ,U+02278 
≪̸,NotLessLess; ,U+0226A U+00338 
⩽̸,NotLessSlantEqual; ,U+02A7D U+00338 
≴,NotLessTilde; ,U+02274 
⪢̸,NotNestedGreaterGreater; ,U+02AA2 U+00338 
⪡̸,NotNestedLessLess; ,U+02AA1 U+00338 
∌,notni; ,U+0220C 
∌,notniva; ,U+0220C 
⋾,notnivb; ,U+022FE 
⋽,notnivc; ,U+022FD 
⊀,NotPrecedes; ,U+02280 
⪯̸,NotPrecedesEqual; ,U+02AAF U+00338 
⋠,NotPrecedesSlantEqual; ,U+022E0 
∌,NotReverseElement; ,U+0220C 
⋫,NotRightTriangle; ,U+022EB 
⧐̸,NotRightTriangleBar; ,U+029D0 U+00338 
⋭,NotRightTriangleEqual; ,U+022ED 
⊏̸,NotSquareSubset; ,U+0228F U+00338 
⋢,NotSquareSubsetEqual; ,U+022E2 
⊐̸,NotSquareSuperset; ,U+02290 U+00338 
⋣,NotSquareSupersetEqual; ,U+022E3 
⊂⃒,NotSubset; ,U+02282 U+020D2 
⊈,NotSubsetEqual; ,U+02288 
⊁,NotSucceeds; ,U+02281 
⪰̸,NotSucceedsEqual; ,U+02AB0 U+00338 
⋡,NotSucceedsSlantEqual; ,U+022E1 
≿̸,NotSucceedsTilde; ,U+0227F U+00338 
⊃⃒,NotSuperset; ,U+02283 U+020D2 
⊉,NotSupersetEqual; ,U+02289 
≁,NotTilde; ,U+02241 
≄,NotTildeEqual; ,U+02244 
≇,NotTildeFullEqual; ,U+02247 
≉,NotTildeTilde; ,U+02249 
∤,NotVerticalBar; ,U+02224 
∦,npar; ,U+02226 
∦,nparallel; ,U+02226 
⫽⃥,nparsl; ,U+02AFD U+020E5 
∂̸,npart; ,U+02202 U+00338 
⨔,npolint; ,U+02A14 
⊀,npr; ,U+02280 
⋠,nprcue; ,U+022E0 
⪯̸,npre; ,U+02AAF U+00338 
⊀,nprec; ,U+02280 
⪯̸,npreceq; ,U+02AAF U+00338 
⇏,nrArr; ,U+021CF 
↛,nrarr; ,U+0219B 
⤳̸,nrarrc; ,U+02933 U+00338 
↝̸,nrarrw; ,U+0219D U+00338 
⇏,nRightarrow; ,U+021CF 
↛,nrightarrow; ,U+0219B 
⋫,nrtri; ,U+022EB 
⋭,nrtrie; ,U+022ED 
⊁,nsc; ,U+02281 
⋡,nsccue; ,U+022E1 
⪰̸,nsce; ,U+02AB0 U+00338 
𝒩,Nscr; ,U+1D4A9 
𝓃,nscr; ,U+1D4C3 
∤,nshortmid; ,U+02224 
∦,nshortparallel; ,U+02226 
≁,nsim; ,U+02241 
≄,nsime; ,U+02244 
≄,nsimeq; ,U+02244 
∤,nsmid; ,U+02224 
∦,nspar; ,U+02226 
⋢,nsqsube; ,U+022E2 
⋣,nsqsupe; ,U+022E3 
⊄,nsub; ,U+02284 
⫅̸,nsubE; ,U+02AC5 U+00338 
⊈,nsube; ,U+02288 
⊂⃒,nsubset; ,U+02282 U+020D2 
⊈,nsubseteq; ,U+02288 
⫅̸,nsubseteqq; ,U+02AC5 U+00338 
⊁,nsucc; ,U+02281 
⪰̸,nsucceq; ,U+02AB0 U+00338 
⊅,nsup; ,U+02285 
⫆̸,nsupE; ,U+02AC6 U+00338 
⊉,nsupe; ,U+02289 
⊃⃒,nsupset; ,U+02283 U+020D2 
⊉,nsupseteq; ,U+02289 
⫆̸,nsupseteqq; ,U+02AC6 U+00338 
≹,ntgl; ,U+02279 
Ñ,Ntilde; ,U+000D1 
Ñ,Ntilde ,U+000D1 
ñ,ntilde; ,U+000F1 
ñ,ntilde ,U+000F1 
≸,ntlg; ,U+02278 
⋪,ntriangleleft; ,U+022EA 
⋬,ntrianglelefteq; ,U+022EC 
⋫,ntriangleright; ,U+022EB 
⋭,ntrianglerighteq; ,U+022ED 
Ν,Nu; ,U+0039D 
ν,nu; ,U+003BD 
#,num; ,U+00023 
№,numero; ,U+02116 
 ,numsp; ,U+02007 
≍⃒,nvap; ,U+0224D U+020D2 
⊯,nVDash; ,U+022AF 
⊮,nVdash; ,U+022AE 
⊭,nvDash; ,U+022AD 
⊬,nvdash; ,U+022AC 
≥⃒,nvge; ,U+02265 U+020D2 
>⃒,nvgt; ,U+0003E U+020D2 
⤄,nvHarr; ,U+02904 
⧞,nvinfin; ,U+029DE 
⤂,nvlArr; ,U+02902 
≤⃒,nvle; ,U+02264 U+020D2 
<⃒,nvlt; ,U+0003C U+020D2 
⊴⃒,nvltrie; ,U+022B4 U+020D2 
⤃,nvrArr; ,U+02903 
⊵⃒,nvrtrie; ,U+022B5 U+020D2 
∼⃒,nvsim; ,U+0223C U+020D2 
⤣,nwarhk; ,U+02923 
⇖,nwArr; ,U+021D6 
↖,nwarr; ,U+02196 
↖,nwarrow; ,U+02196 
⤧,nwnear; ,U+02927 
Ó,Oacute; ,U+000D3 
Ó,Oacute ,U+000D3 
ó,oacute; ,U+000F3 
ó,oacute ,U+000F3 
⊛,oast; ,U+0229B 
⊚,ocir; ,U+0229A 
Ô,Ocirc; ,U+000D4 
Ô,Ocirc ,U+000D4 
ô,ocirc; ,U+000F4 
ô,ocirc ,U+000F4 
О,Ocy; ,U+0041E 
о,ocy; ,U+0043E 
⊝,odash; ,U+0229D 
Ő,Odblac; ,U+00150 
ő,odblac; ,U+00151 
⨸,odiv; ,U+02A38 
⊙,odot; ,U+02299 
⦼,odsold; ,U+029BC 
Œ,OElig; ,U+00152 
œ,oelig; ,U+00153 
⦿,ofcir; ,U+029BF 
𝔒,Ofr; ,U+1D512 
𝔬,ofr; ,U+1D52C 
˛,ogon; ,U+002DB 
Ò,Ograve; ,U+000D2 
Ò,Ograve ,U+000D2 
ò,ograve; ,U+000F2 
ò,ograve ,U+000F2 
⧁,ogt; ,U+029C1 
⦵,ohbar; ,U+029B5 
Ω,ohm; ,U+003A9 
∮,oint; ,U+0222E 
↺,olarr; ,U+021BA 
⦾,olcir; ,U+029BE 
⦻,olcross; ,U+029BB 
‾,oline; ,U+0203E 
⧀,olt; ,U+029C0 
Ō,Omacr; ,U+0014C 
ō,omacr; ,U+0014D 
Ω,Omega; ,U+003A9 
ω,omega; ,U+003C9 
Ο,Omicron; ,U+0039F 
ο,omicron; ,U+003BF 
⦶,omid; ,U+029B6 
⊖,ominus; ,U+02296 
𝕆,Oopf; ,U+1D546 
𝕠,oopf; ,U+1D560 
⦷,opar; ,U+029B7 
“,OpenCurlyDoubleQuote; ,U+0201C 
‘,OpenCurlyQuote; ,U+02018 
⦹,operp; ,U+029B9 
⊕,oplus; ,U+02295 
⩔,Or; ,U+02A54 
∨,or; ,U+02228 
↻,orarr; ,U+021BB 
⩝,ord; ,U+02A5D 
ℴ,order; ,U+02134 
ℴ,orderof; ,U+02134 
ª,ordf; ,U+000AA 
ª,ordf ,U+000AA 
º,ordm; ,U+000BA 
º,ordm ,U+000BA 
⊶,origof; ,U+022B6 
⩖,oror; ,U+02A56 
⩗,orslope; ,U+02A57 
⩛,orv; ,U+02A5B 
Ⓢ,oS; ,U+024C8 
𝒪,Oscr; ,U+1D4AA 
ℴ,oscr; ,U+02134 
Ø,Oslash; ,U+000D8 
Ø,Oslash ,U+000D8 
ø,oslash; ,U+000F8 
ø,oslash ,U+000F8 
⊘,osol; ,U+02298 
Õ,Otilde; ,U+000D5 
Õ,Otilde ,U+000D5 
õ,otilde; ,U+000F5 
õ,otilde ,U+000F5 
⨷,Otimes; ,U+02A37 
⊗,otimes; ,U+02297 
⨶,otimesas; ,U+02A36 
Ö,Ouml; ,U+000D6 
Ö,Ouml ,U+000D6 
ö,ouml; ,U+000F6 
ö,ouml ,U+000F6 
⌽,ovbar; ,U+0233D 
‾,OverBar; ,U+0203E 
⏞,OverBrace; ,U+023DE 
⎴,OverBracket; ,U+023B4 
⏜,OverParenthesis; ,U+023DC 
∥,par; ,U+02225 
¶,para; ,U+000B6 
¶,para ,U+000B6 
∥,parallel; ,U+02225 
⫳,parsim; ,U+02AF3 
⫽,parsl; ,U+02AFD 
∂,part; ,U+02202 
∂,PartialD; ,U+02202 
П,Pcy; ,U+0041F 
п,pcy; ,U+0043F 
%,percnt; ,U+00025 
.,period; ,U+0002E 
‰,permil; ,U+02030 
⊥,perp; ,U+022A5 
‱,pertenk; ,U+02031 
𝔓,Pfr; ,U+1D513 
𝔭,pfr; ,U+1D52D 
Φ,Phi; ,U+003A6 
φ,phi; ,U+003C6 
ϕ,phiv; ,U+003D5 
ℳ,phmmat; ,U+02133 
☎,phone; ,U+0260E 
Π,Pi; ,U+003A0 
π,pi; ,U+003C0 
⋔,pitchfork; ,U+022D4 
ϖ,piv; ,U+003D6 
ℏ,planck; ,U+0210F 
ℎ,planckh; ,U+0210E 
ℏ,plankv; ,U+0210F 
+,plus; ,U+0002B 
⨣,plusacir; ,U+02A23 
⊞,plusb; ,U+0229E 
⨢,pluscir; ,U+02A22 
∔,plusdo; ,U+02214 
⨥,plusdu; ,U+02A25 
⩲,pluse; ,U+02A72 
±,PlusMinus; ,U+000B1 
±,plusmn; ,U+000B1 
±,plusmn ,U+000B1 
⨦,plussim; ,U+02A26 
⨧,plustwo; ,U+02A27 
±,pm; ,U+000B1 
ℌ,Poincareplane; ,U+0210C 
⨕,pointint; ,U+02A15 
ℙ,Popf; ,U+02119 
𝕡,popf; ,U+1D561 
£,pound; ,U+000A3 
£,pound ,U+000A3 
⪻,Pr; ,U+02ABB 
≺,pr; ,U+0227A 
⪷,prap; ,U+02AB7 
≼,prcue; ,U+0227C 
⪳,prE; ,U+02AB3 
⪯,pre; ,U+02AAF 
≺,prec; ,U+0227A 
⪷,precapprox; ,U+02AB7 
≼,preccurlyeq; ,U+0227C 
≺,Precedes; ,U+0227A 
⪯,PrecedesEqual; ,U+02AAF 
≼,PrecedesSlantEqual; ,U+0227C 
≾,PrecedesTilde; ,U+0227E 
⪯,preceq; ,U+02AAF 
⪹,precnapprox; ,U+02AB9 
⪵,precneqq; ,U+02AB5 
⋨,precnsim; ,U+022E8 
≾,precsim; ,U+0227E 
″,Prime; ,U+02033 
′,prime; ,U+02032 
ℙ,primes; ,U+02119 
⪹,prnap; ,U+02AB9 
⪵,prnE; ,U+02AB5 
⋨,prnsim; ,U+022E8 
∏,prod; ,U+0220F 
∏,Product; ,U+0220F 
⌮,profalar; ,U+0232E 
⌒,profline; ,U+02312 
⌓,profsurf; ,U+02313 
∝,prop; ,U+0221D 
∷,Proportion; ,U+02237 
∝,Proportional; ,U+0221D 
∝,propto; ,U+0221D 
≾,prsim; ,U+0227E 
⊰,prurel; ,U+022B0 
𝒫,Pscr; ,U+1D4AB 
𝓅,pscr; ,U+1D4C5 
Ψ,Psi; ,U+003A8 
ψ,psi; ,U+003C8 
 ,puncsp; ,U+02008 
𝔔,Qfr; ,U+1D514 
𝔮,qfr; ,U+1D52E 
⨌,qint; ,U+02A0C 
ℚ,Qopf; ,U+0211A 
𝕢,qopf; ,U+1D562 
⁗,qprime; ,U+02057 
𝒬,Qscr; ,U+1D4AC 
𝓆,qscr; ,U+1D4C6 
ℍ,quaternions; ,U+0210D 
⨖,quatint; ,U+02A16 
?,quest; ,U+0003F 
≟,questeq; ,U+0225F 
,QUOT; ,U+00022 
,quot; ,U+00022 
⇛,rAarr; ,U+021DB 
∽̱,race; ,U+0223D U+00331 
Ŕ,Racute; ,U+00154 
ŕ,racute; ,U+00155 
√,radic; ,U+0221A 
⦳,raemptyv; ,U+029B3 
⟫,Rang; ,U+027EB 
⟩,rang; ,U+027E9 
⦒,rangd; ,U+02992 
⦥,range; ,U+029A5 
⟩,rangle; ,U+027E9 
»,raquo; ,U+000BB 
»,raquo ,U+000BB 
↠,Rarr; ,U+021A0 
⇒,rArr; ,U+021D2 
→,rarr; ,U+02192 
⥵,rarrap; ,U+02975 
